counter_name,code_item,magazijn,winkel,total,current_inventory,difference,count_date,location,deposit_id,rack_id,boxqty,boxunitqty,boxunittotal,remarks
VICTORIA,0576,80,0,80,0,0,30-01-2026,,3,31,0,1,0,VICTORIA D3
VICTORIA,7176,60,0,60,0,0,30-01-2026,,3,31,0,1,0,VICTORIA D3
VICTORIA,0569,160,0,160,0,0,30-01-2026,,3,31,0,1,0,VICTORIA D3
VICTORIA,0570,160,0,160,0,0,30-01-2026,,3,31,0,1,0,VICTORIA D3
VICTORIA,0571,140,0,140,0,0,30-01-2026,,3,31,0,1,0,VICTORIA D3
VICTORIA,15143,1,0,1,0,0,30-01-2026,,3,31,0,1,0,VICTORIA D3
VICTORIA,0631,0,0,15,0,0,30-01-2026,,3,27,5,3,15,VICTORIA D3
VICTORIA,0630,0,0,51,0,0,30-01-2026,,3,27,17,3,51,VICTORIA D3
VICTORIA,0628,0,0,81,0,0,30-01-2026,,3,27,9,9,81,VICTORIA D3
VICTORIA,0627,0,0,15,0,0,30-01-2026,,3,27,5,3,15,VICTORIA D3
VICTORIA,0625,0,0,105,0,0,30-01-2026,,3,27,35,3,105,VICTORIA D3
VICTORIA,0624,0,0,36,0,0,30-01-2026,,3,27,12,3,36,VICTORIA D3
VICTORIA,1153,0,0,750,0,0,30-01-2026,,3,28,15,50,750,VICTORIA D3
VICTORIA,15140,21,0,21,0,0,30-01-2026,,3,28,0,1,0,VICTORIA D3
VICTORIA,1152,0,0,2750,0,0,30-01-2026,,3,28,55,50,2750,VICTORIA D3 ***
VICTORIA,1152,0,0,600,0,0,30-01-2026,,3,28,12,50,600,VICTORIA D3 ***
VICTORIA,3332,0,0,24,0,0,30-01-2026,,3,28,3,8,24,VICTORIA D3
VICTORIA,1375,120,0,120,0,0,30-01-2026,,3,28,0,1,0,VICTORIA D3
VICTORIA,1376,96,0,96,0,0,30-01-2026,,3,28,0,1,0,VICTORIA D3
VICTORIA,1377,64,0,64,0,0,30-01-2026,,3,28,0,1,0,VICTORIA D3
VICTORIA,1378,60,0,60,0,0,30-01-2026,,3,28,0,1,0,VICTORIA D3
VICTORIA,3124,0,0,8,0,0,30-01-2026,,3,28,2,4,8,VICTORIA D3 ***
VICTORIA,3124,0,0,12,0,0,30-01-2026,,3,28,3,4,12,VICTORIA D3 ***
VICTORIA,1150,0,0,800,0,0,30-01-2026,,3,28,16,50,800,VICTORIA D3
VICTORIA,1150,0,0,1500,0,0,30-01-2026,,3,28,30,50,1500,VICTORIA D3
VICTORIA,0620,0,0,250,0,0,30-01-2026,,3,27,5,50,250,VICTORIA D3
VICTORIA,0621,0,0,160,0,0,30-01-2026,,3,27,8,20,160,VICTORIA D3
VICTORIA,7054,0,0,0,0,0,30-01-2026,,3,27,0,1,0,VICTORIA D3 ***
VICTORIA,7055,2,0,62,0,0,30-01-2026,,3,27,3,20,60,VICTORIA D3 ***
