id,code_item,description_item,boxqty,boxunitqty,boxunittotal,magazijn,winkel,total,current_inventory,difference,updated_date,sales_qty,purchasing_qty
3033,0436,PERSKABELSCHOEN  10  mm  M10,21,200,2100,41,0,2141,1827,-314,2026-02-17T18:02:59.718311,,
3034,0437,PERSKABELSCHOEN  16  mm  M6,23,100,2300,257,0,2557,2695,138,2026-02-17T18:02:59.718311,,
3035,0438,PERSKABELSCHOEN  16  mm  M10,10,100,1000,51,0,1051,1017,-34,2026-02-17T18:02:59.718311,,
3036,0439,PERSKABELSCHOEN  25  mm  M6,21,100,1050,48,0,1098,1116,18,2026-02-17T18:02:59.718311,,
3037,0440,PERSKABELSCHOEN  25  mm  M10,14,50,700,0,0,700,706,6,2026-02-17T18:02:59.718311,,
3038,0441,PERSKABELSCHOEN  25  mm  M12,18,67,867,1,0,868,866,-2,2026-02-17T18:02:59.718311,,
3039,0442,PERSKABELSCHOEN  35  mm  M10,3,200,600,0,0,600,494,-106,2026-02-17T18:02:59.718311,,
3040,0443,PERSKABELSCHOEN  35  mm  M12,1,200,200,142,0,342,699,357,2026-02-17T18:02:59.718311,,
3041,0444,PERSKABELSCHOEN  50  mm  M12,320,2,640,4,0,644,309,-335,2026-02-17T18:02:59.718311,,
3042,0445,PERSKABELSCHOEN  70  mm  M12,6,220,640,116,0,756,375,-381,2026-02-17T18:02:59.718311,,
3043,0446,PERSKABELSCHOEN  95  mm  M10,6,100,300,12,0,312,315,3,2026-02-17T18:02:59.718311,,
3044,0447,PERSKABELSCHOEN  120  mm  M10,120,10,1200,9,0,1209,166,-1043,2026-02-17T18:02:59.718311,,
3045,0451,PERSKABELSCHOEN  50  mm  M8,5,200,260,0,0,260,271,11,2026-02-17T18:02:59.718311,,
3046,0452,PERSKABELSCHOEN  95  mm  M8,7,100,380,15,0,395,424,29,2026-02-17T18:02:59.718311,,
3047,0453,PERSKABELSCHOEN  70  mm  M14,0,0,0,4,0,4,0,-4,2026-02-17T18:02:59.718311,,
3048,0455,RAYTECH GIETMOF 95MM(A310),0,0,0,1,0,1,0,-1,2026-02-17T18:02:59.718311,,
3049,0456,A310 BARNICOL GIETMOF CPL,5,1,5,0,0,5,8,3,2026-02-17T18:02:59.718311,,
3050,0457,A150 BARNICOL GIETMOF CPL,12,1,12,0,0,12,13,1,2026-02-17T18:02:59.718311,,
3051,0460,A370 BARNICOL GIETMOF CPL,8,1,8,0,0,8,5,-3,2026-02-17T18:02:59.718311,,
3052,0461,A470 BARNICOL GIETMOF CPL,2,1,2,0,0,2,2,0,2026-02-17T18:02:59.718311,,
3053,0462,BARNICOL GIETHARS A,6,1,6,0,0,6,6,0,2026-02-17T18:02:59.718311,,
3054,0463,BARNICOL GIETHARS B,6,1,6,0,0,6,10,4,2026-02-17T18:02:59.718311,,
3055,0464,BARNICOL GIETHARS C,5,1,5,0,0,5,6,1,2026-02-17T18:02:59.718311,,
3056,0467,ATTEMA  GIETMOF PAKKET 2511,6,13,32,0,0,32,27,-5,2026-02-17T18:02:59.718311,,
3057,0468,CP-10 PIN PERSKABELSCHOEN 10MM,7,100,700,158,0,858,858,0,2026-02-17T18:02:59.718311,,
3058,0469,CP-16 PIN PERSKABELSCHOEN 16MM,5,100,500,37,0,537,537,0,2026-02-17T18:02:59.718311,,
3059,0470,CP-25 PIN PERSKABELSCHOEN 25MM,2,100,200,130,0,330,329,-1,2026-02-17T18:02:59.718311,,
3060,0471,CP-35 PIN PERSKABELSCHOEN 35MM,1,100,100,22,0,122,124,2,2026-02-17T18:02:59.718311,,
3061,0472,CP-50 PIN PERSKABELSCHOEN 50MM,0,0,0,28,0,28,30,2,2026-02-17T18:02:59.718311,,
3062,0473,PERSKABELSCHOEN SMALL 70-10MM,0,0,0,12,0,12,11,-1,2026-02-17T18:02:59.718311,,
3063,0474,PERSKABELSCHOEN SMALL 95-10MM,6,20,120,1,0,121,122,1,2026-02-17T18:02:59.718311,,
3064,0476,PERSKABELSCHOEN SMALL 240-10MM,1,5,5,3,0,8,8,0,2026-02-17T18:02:59.718311,,
3065,0477,PERSKABELSCHOEN SMALL 240-12MM,9,5,45,3,0,48,48,0,2026-02-17T18:02:59.718311,,
3066,0480,T-DOOS              4206-D,10,10,100,346,0,446,445,-1,2026-02-17T18:02:59.718311,,
3067,0481,MIDDENDOOS DUBBEL 4207-D,20,10,200,40,0,240,460,220,2026-02-17T18:02:59.718311,,
3068,0482,TOPDOOS DUBB RECHT 4208-D,0,1,0,15,0,15,230,215,2026-02-17T18:02:59.718311,,
3069,0483,TOPDOOS DUBB LINKS   4209-D,0,2,0,65,0,65,369,304,2026-02-17T18:02:59.718311,,
3070,0484,TOP T DOOS DUBB. R. 4210-D,92,20,920,7,0,927,924,-3,2026-02-17T18:02:59.718311,,
3071,0485,TOP T DOOS DUBB. L.  4211-D,90,20,900,3,0,903,885,-18,2026-02-17T18:02:59.718311,,
3072,0486,KABELDOOS 220A,29,10,290,4,0,294,286,-8,2026-02-17T18:02:59.718311,,
3073,0487,KABELDOOS 222A,2,51,102,39,0,141,34,-107,2026-02-17T18:02:59.718311,,
3074,0488,KABELDOOS 221A,0,0,0,1,0,1,143,142,2026-02-17T18:02:59.718311,,
