code_item,description_item,current_inventory
0610                ,ZEKERING 16A                  ,0
0611                ,ZEKERING 20A                  ,0
0612                ,ZEKERING 25A                  ,0
0613                ,ZEKERING 35A                  ,0
0614                ,ZEKERING 50A                  ,0
0615                ,ZEKERING 63A                  ,0
0619                ,KOP D01 E14  16A              ,0
0620                ,KOP K2                        ,0
0621                ,KOP K3                        ,0
0624                ,KSV PATRONEN   25A NH 00      ,0
0625                ,KSV PATRONEN   35A NH 00      ,0
0626                ,KSV PATRONEN   50A NH 00      ,0
0627                ,KSV PATRONEN   63A NH 00      ,0
0628                ,KSV PATRONEN   80A NH 00      ,0
0629                ,KSV PATRONEN 100A NH 00       ,0
0630                ,KSV PATRONEN 125A NH 00       ,0
0631                ,KSV PATRONEN 160A NH 00       ,0
0635                ,KSV PATRONEN  63A NH 1        ,0
0636                ,KSV PATRONEN  80A NH 1        ,0
0637                ,KSV PATRONEN 100A NH 1        ,0
0638                ,KSV PATRONEN 125A NH 1        ,0
0639                ,KSV PATRONEN 160A NH 1        ,0
0640                ,KSV PATRONEN 200A NH 1        ,0
0641                ,KSV PATRONEN 224A NH 1        ,0
0642                ,KSV PATRONEN 250A NH 1        ,0
0643                ,KSV PATRONEN 315A NH 1        ,0
0644                ,KSV PATRONEN 355A NH 1        ,0
0645                ,KSV PATRONEN 400A NH 2        ,0
0646                ,KSV PATRONEN 630A NH 3        ,0
0650                ,MESPATR. HOUDER DIN 00        ,0
0651                ,MESPATR. HOUDER DIN 1         ,0
0660                ,JSL STEEKKLEM 2 VOUDIG        ,0
0661                ,JSL STEEKKLEM 3 VOUDIG        ,0
0662                ,JSL STEEKKLEM 4 VOUDIG        ,0
0663                ,JSL STEEKKLEM 5 VOUDIG        ,0
0700                ,ATT UNIVERSELE LASDOOS 1619   ,0
0701                ,ATT BLINDDEKSEL BK 1620       ,0
0702                ,ATT MONTAGEDEKSEL 1X WCD 1622 ,0
0703                ,ATT MONTAGEDEKSEL 2X WCD 1623 ,0
0706                ,ATT EINDOOS 2033              ,0
0707                ,ATEMA U 50 INBDOOS 16-19-20MM ,0
0708                ,ATEMA TUIT 2X16/19/20 U 50    ,0
0709                ,ATEMA AFDEK PLAAT U 50        ,0
0715                ,ATT KABELDOOS IP65M20/M25 2501,0
0990                ,PICKENS VOLTAGE PROTECT 120V  ,0
0991                ,USB VOLTAGE PROTECTOR PICKENS ,0
0992                ,STRAP 2 PORTMOD-5522-5EW DECOR,0
0993                ,ADAPTOR F SERIE COAX 5552-5EW ,0
0995                ,F-CONNECTOR 2078-T6           ,0
0996                ,CUBE TAP 3 OUTLET 1482W       ,0
0997                , 6 OUTLET 1146W-SP            ,0
0998                ,3 OUTLET 1192W-SP             ,0
0999                ,WCD AM INB D 220V R/A  815W   ,0
1000                ,SCHAK AM WIS  DUB 276W        ,0
1001                ,5 BTTN  TIMER 127V PT18M-W    ,0
1002                ,SCHAK AM ENK POL 271W         ,0
1003                ,SCHAK AM 2POL   CS215W        ,0
1004                ,SCHAK AM ENK INB         1301W,0
1005                ,SCHAK AM WIS INB         1303W,0
1006                ,SCHAK AM ENK DECO        7501W,0
1007                ,SCHAK AM WIS DECO        7503W,0
1008                ,SCHAK AM DUB DECO       7728W ,0
1009                ,SCHAK AM TRI DECO        7729W,0
10090               ,SCHAK DUB  WISSEL DECO 7731W  ,0
10091               ,SCHAK AM 2P DEC 20A   7622W   ,0
10092               ,SCHAK AM KRS DECO        7504W,0
10093               ,SCHAK AM ENK-WIS 7732W        ,0
1010                ,DIMMER SCHUIF  SI061W / 6422  ,0
10100               ,UNIV DEC DIMMER LED DUL 06    ,0
10101               ,DIMMER  WISS SI06P-W /SUL06P-W,0
1011                ,SCHAK AM ENK            1101V ,0
1012                ,SCHAK AM WIS            923V  ,0
1013                ,SCHAK AM 2POL  CS220W         ,0
